name,price,county,town,address,lng_wgs84,lat_wgs84
永春中路135弄,22340,浦东,大团镇,(浦东大团镇)永春中路135弄,121.7333514,30.97411245
丽泽菊清苑,22350,浦东,书院镇,(浦东书院镇)石潭街135弄,121.8660262,30.98063859
福都广场锋尚99,22352,松江,松江新城,(松江松江新城)茸平路515弄,121.2448648,31.03667305
明城海湾新苑,22354,奉贤,海湾,(奉贤海湾)明城路1198弄,121.5552537,30.86531059
希望大楼,22368,嘉定,嘉定新城,(嘉定嘉定新城)沪宜公路2185号,121.2788645,31.33417328
同润魅影商苑,22432,松江,车墩,"(松江车墩)影佳路158号, 影佳路58号, 影佳路55号, 影佳路155号",121.3057153,31.00967795
半岛花园别墅,22459,松江,九亭,(松江九亭)涞亭南路169弄,121.3293317,31.14165233
宝虹家园,22467,宝山,罗泾,(宝山罗泾)陈川路555弄,121.3294507,31.47855254
祁昌路135弄,22471,嘉定,外冈,(嘉定外冈)祁昌路135弄,121.1696601,31.36326284
绿家园,22478,闵行,老闵行,(闵行老闵行)东川路2091弄,121.4118319,31.01395496
南庭公馆,22490,奉贤,庄行,(奉贤庄行)镇一新路21弄,121.3927517,30.90567619
明珠花苑(崇明),22491,崇明,崇明新城,(崇明崇明新城)育麟桥路188弄,121.4076233,31.63991184
山鑫公寓,22500,金山,石化,(金山石化)卫清西路679弄,121.3346648,30.72940214
石化八村,22500,金山,石化,(金山石化)石化八村,121.3384179,30.7130542
绿地香溢,22504,奉贤,海湾,(奉贤海湾)海兴路1881弄,121.5647494,30.85764131
民惠佳苑(九区),22513,青浦,香花桥,(青浦香花桥)久远路1660弄,121.1050147,31.21237915
交城路194号,22560,闸北,永和,(闸北永和)交城路194号,121.4269843,31.29477788
沈巷新村,22570,宝山,月浦,(宝山月浦)月罗路307弄,121.4038135,31.42286101
御龙景苑,22574,金山,山阳,(金山山阳)海丰路128弄277-303号,121.3499484,30.76186662
金团花苑,22576,浦东,大团镇,(浦东大团镇)永春南路407弄,121.7343659,30.97093181
明发嘉定中心,22585,嘉定,嘉定新城,(嘉定嘉定新城)沪宜公路2857号,121.2576718,31.3556695
绿地香颂(奉贤)(别墅),22613,奉贤,海湾,(奉贤海湾)海马路5888弄,121.5095541,30.82733292
中食新村,22641,宝山,大场镇,(宝山大场镇)中食新村,121.3988299,31.30367479
中建公元名邸(别墅),22653,奉贤,奉城,(奉贤奉城)兰博路1801弄,121.6514531,30.90905041
天邻湖景别墅,22705,上海周边,苏州,(上海周边苏州)甫澄南路18号,120.8681478,31.23702095
金玉佳苑,22720,浦东,大团镇,(浦东大团镇)永宁东路540弄,121.7431345,30.97091315
农场路16号,22730,浦东,惠南,(浦东惠南)农场路16号,121.7500295,31.0387961
云帆花苑,22732,浦东,泥城镇,(浦东泥城镇)彩云路220弄,121.8103227,30.90119341
东街13号,22764,闵行,马桥,(闵行马桥)马桥镇东街13号,121.3654629,31.03193822
紫菁庭,22773,浦东,临港新城,(浦东临港新城)港辉路528弄,121.851733,30.87438448
东礁三村,22807,金山,石化,(金山石化)东礁三村,121.3350106,30.72343341
