gml_id,Name_town,layer,code_town,grade,code_front6,Name_county,code_county,houseprice,tot_pop,urban_rat,for_res,male,female,under_14,between_15_64,beyond_65,minor,birth_rate,death_rate,area,pop_dens
layer_township_pg.74,长寿路街道,乡镇,3.10E+11,4,310107,普陀区,3.10E+11,70405.82946,128600,1,36992,62900,65700,9460,103800,15404,1718,0.00795,0.00852,4.02,31990
layer_township_pg.79,甘泉路街道,乡镇,3.10E+11,4,310107,普陀区,3.10E+11,55824.13043,112500,1,15491,55100,57400,6174,87500,18806,1201,0.00551,0.01017,2.34,48076
layer_township_pg.77,石泉路街道,乡镇,3.10E+11,4,310107,普陀区,3.10E+11,60017.28358,120200,1,32099,60400,59800,7038,96100,17081,1134,0.00729,0.00936,3.48,34540
layer_township_pg.81,宜川路街道,乡镇,3.10E+11,4,310107,普陀区,3.10E+11,55677.28814,111200,1,26336,55200,56000,7937,87800,15463,1129,0.00613,0.00889,2.21,50300
layer_township_pg.73,真如镇,乡镇,3.10E+11,4,310107,普陀区,3.10E+11,55390.03261,172400,1,39427,86900,85500,11993,138700,21671,1810,0.00635,0.00904,6.09,28308
layer_township_pg.80,长征镇,乡镇,3.10E+11,4,310107,普陀区,3.10E+11,62440.90816,229900,1,71100,117600,112300,19893,195050,19505,2590,0.00471,0.00638,10.81,21267
layer_township_pg.75,桃浦镇,乡镇,3.10E+11,4,310107,普陀区,3.10E+11,45860.38983,194800,1,88000,104800,90000,14927,163500,16444,2061,0.00427,0.00439,18.5,10530
layer_township_pg.153,欧阳路街道,乡镇,3.10E+11,4,310109,虹口区,3.10E+11,64906.86325,73300,1,11179,35600,37700,4726,55500,13105,736,0.0049,0.0095,1.67,43892
layer_township_pg.154,曲阳路街道,乡镇,3.10E+11,4,310109,虹口区,3.10E+11,66263.21505,102600,1,20374,49100,53500,6371,78000,17869,1346,,,3.05,33639
layer_township_pg.151,广中路街道,乡镇,3.10E+11,4,310109,虹口区,3.10E+11,61209.95294,122700,1,25745,60700,62000,8252,94700,17004,1091,0.0061,0.0084,2.91,42165
layer_township_pg.155,嘉兴路街道,乡镇,3.10E+11,4,310109,虹口区,3.10E+11,75295.5125,125600,1,35630,62800,62800,10083,100600,14970,1425,0.00103,0.00112,2.63,47777
layer_township_pg.152,凉城新村街道,乡镇,3.10E+11,4,310109,虹口区,3.10E+11,60331.20896,98100,1,14081,47800,50300,7176,77400,13501,916,0.0063,0.0075,3.24,30276
layer_township_pg.156,四川北路街道,乡镇,3.10E+11,4,310109,虹口区,3.10E+11,71965.16949,97400,1,26165,43700,43700,5378,69000,13044,895,0.0065,0.0098,2.33,37511
layer_township_pg.149,提篮桥街道,乡镇,3.10E+11,4,310109,虹口区,3.10E+11,70276.62295,113800,1,33944,58800,55000,6713,91700,15305,1188,0.00695,0.00935,3.45,32985
layer_township_pg.150,江湾镇街道,乡镇,3.10E+11,4,310109,虹口区,3.10E+11,56723.91667,129000,1,28987,64000,65000,9595,103300,16158,1183,0.00732,0.00709,4.17,30935
layer_township_pg.86,定海路街道,乡镇,3.10E+11,4,310110,杨浦区,3.10E+11,60002.92157,100500,1,29317,53700,46735,6299,82600,11598,1138,0.00753,0.00837,6.26,16051
layer_township_pg.92,平凉路街道,乡镇,3.10E+11,4,310110,杨浦区,3.10E+11,69267.22222,85900,1,20208,44384,41486,5271,69100,11507,623,0.00732,0.00863,3.21,26750
layer_township_pg.87,江浦路街道,乡镇,3.10E+11,4,310110,杨浦区,3.10E+11,66722.25926,95400,1,18666,47687,47695,6655,75500,13221,806,0.00631,0.00883,2.31,41290
layer_township_pg.84,四平路街道,乡镇,3.10E+11,4,310110,杨浦区,3.10E+11,71194.83117,92500,1,14544,47488,45017,5074,73100,14346,1828,0.0052,0.00672,2.63,35173
layer_township_pg.85,控江路街道,乡镇,3.10E+11,4,310110,杨浦区,3.10E+11,66058.56164,105600,1,15821,51700,53900,7158,82600,15888,791,0.00607,0.00989,2.12,49817
layer_township_pg.89,长白新村街道,乡镇,3.10E+11,4,310110,杨浦区,3.10E+11,57162.08108,70200,1,10415,35741,34454,3923,55700,10550,1059,0.00487,0.00787,3.05,23014
layer_township_pg.91,延吉新村街道,乡镇,3.10E+11,4,310110,杨浦区,3.10E+11,58572.59459,90300,1,11919,44289,46045,4645,68600,17131,906,0.00489,0.01074,1.96,46088
layer_township_pg.83,殷行街道,乡镇,3.10E+11,4,310110,杨浦区,3.10E+11,51274.27778,192600,1,31196,96500,96000,11174,152600,28749,1356,0.0052,0.00909,9.51,20247
layer_township_pg.88,大桥街道,乡镇,3.10E+11,4,310110,杨浦区,3.10E+11,63582.4023,125000,1,29057,63100,61800,7852,100900,16174,1030,0.00749,0.00842,4.42,28270
layer_township_pg.93,五角场街道,乡镇,3.10E+11,4,310110,杨浦区,3.10E+11,65500.34375,149100,1,35512,73900,75200,9891,122700,16531,2813,0.00603,0.00543,7.54,19775
layer_township_pg.82,新江湾城街道,乡镇,3.10E+11,4,310110,杨浦区,3.10E+11,75888.34146,27251,1,11279,15564,11687,2557,23420,1274,379,0.0031,0.00999,8.74,3117
layer_township_pg.90,五角场镇,乡镇,3.10E+11,4,310110,杨浦区,3.10E+11,60265.33588,179000,1,47369,90600,88400,14648,145800,18568,1880,0.00729,0.00656,8.81,20317
layer_township_pg.186,江川路街道,乡镇,3.10E+11,4,310112,闵行区,3.10E+11,38161.34906,186000,1,38660,99500,86500,15582,149100,21312,2735,0.00584,0.00665,30.27,6144
layer_township_pg.189,古美街道,乡镇,3.10E+11,4,310112,闵行区,3.10E+11,65779.69697,149100,1,47813,74900,74200,16844,117800,14499,2291,0.00782,0.00264,6.5,22945
layer_township_pg.187,新虹街道,乡镇,3.10E+11,4,310112,闵行区,3.10E+11,50679.69231,65300,0.97,34549,34549,30707,4593,55500,5193,857,0.00697,0.00751,19.26,3388
layer_township_pg.179,莘庄镇,乡镇,3.10E+11,4,310112,闵行区,3.10E+11,53775.48295,277900,0.95,101100,139200,138800,32406,220000,25533,4493,0.00824,0.00249,19.12,14536
layer_township_pg.181,七宝镇,乡镇,3.10E+11,4,310112,闵行区,3.10E+11,59218.38037,283400,0.98,132400,144200,139200,27096,232000,24295,5464,0.00665,0.00415,19.62,14442
layer_township_pg.182,颛桥镇,乡镇,3.10E+11,4,310112,闵行区,3.10E+11,43685.37634,189600,0.9642,110000,99600,90000,18484,159700,11445,2454,0.0137,0.0069,32.56,5823
layer_township_pg.180,华漕镇,乡镇,3.10E+11,4,310112,闵行区,3.10E+11,48609.45946,193800,0.797,142300,103600,90200,17762,167300,8715,1926,,,28.16,6881
layer_township_pg.178,虹桥镇,乡镇,3.10E+11,4,310112,闵行区,3.10E+11,64090.60432,165900,1,69800,80800,85000,13268,136300,16331,5510,0.00052,0.00017,11.08,14971
layer_township_pg.188,梅陇镇,乡镇,3.10E+11,4,310112,闵行区,3.10E+11,54368.29293,344400,0.974,186300,179300,165200,31686,288700,24064,4868,0.00915,0.00768,28.47,12098
layer_township_pg.184,吴泾镇,乡镇,3.10E+11,4,310112,闵行区,3.10E+11,38653.25,121200,0.929,62600,64800,56300,10250,101600,9316,2469,0.00759,0.00541,37.6,3222
layer_township_pg.185,马桥镇,乡镇,3.10E+11,4,310112,闵行区,3.10E+11,33542.73611,104000,0.6875,72100,55900,48041,10100,88400,5522,2515,0.0024,0.00327,49.5,2101
layer_township_pg.183,浦江镇,乡镇,3.10E+11,4,310112,闵行区,3.10E+11,42077.70213,,,,,,,,,,,,,
layer_township_pg.190,莘庄工业区,乡镇,3.10E+11,4,310112,闵行区,3.10E+11,42064.72,,,,,,,,,,,,,
layer_township_pg.31,友谊路街道,乡镇,3.10E+11,4,310113,宝山区,3.10E+11,47021.41772,136800,1,28643,68800,68000,14375,107200,15199,1631,0.00065,0.00049,10.45,13090
layer_township_pg.25,吴淞街道,乡镇,3.10E+11,4,310113,宝山区,3.10E+11,41777.46667,104200,1,26543,52700,51400,8423,82500,13276,705,0.0042,0.00684,7.52,13851
layer_township_pg.32,张庙街道,乡镇,3.10E+11,4,310113,宝山区,3.10E+11,46378,172300,1,20813,86700,85600,13128,135300,23810,1135,0.0038,0.00715,5.19,33195
layer_township_pg.35,罗店镇,乡镇,3.10E+11,4,310113,宝山区,3.10E+11,33699.13793,118300,0.4397,63800,64800,53500,9981,98600,9759,828,0.00645,0.00821,45.19,2618
layer_township_pg.27,大场镇,乡镇,3.10E+11,4,310113,宝山区,3.10E+11,49140.152,371900,0.6651,156700,196000,175900,32548,310700,28587,3997,0.00388,0.00322,27.22,13700
layer_township_pg.36,杨行镇,乡镇,3.10E+11,4,310113,宝山区,3.10E+11,41001.35484,204600,0.5365,123900,118500,86100,21342,175100,8106,1815,0.01135,0.0046,37.91,5397
layer_township_pg.37,月浦镇,乡镇,3.10E+11,4,310113,宝山区,3.10E+11,33396.06897,,,,,,,,,,,,,
layer_township_pg.33,罗泾镇,乡镇,3.10E+11,4,310113,宝山区,3.10E+11,25986.92308,,,,,,,,,,,,,
layer_township_pg.28,顾村镇,乡镇,3.10E+11,4,310113,宝山区,3.10E+11,40822.46067,240200,0.95,121800,132300,107900,21453,203100,15628,1949,0.00914,0.00196,41.66,5766
layer_township_pg.30,高境镇,乡镇,3.10E+11,4,310113,宝山区,3.10E+11,52011.48936,127500,,32037,65200,62300,10040,104800,12703,1093,0.00387,0.00507,7.1,17959
layer_township_pg.29,庙行镇,乡镇,3.10E+11,4,310113,宝山区,3.10E+11,51655.57143,89600,0.6706,41200,48100,41500,7654,76400,5551,598,0.00998,0.0072,5.89,15214
layer_township_pg.26,淞南镇,乡镇,3.10E+11,4,310113,宝山区,3.10E+11,47294.26923,127300,1,31017,66800,60500,10371,103600,13365,921,0.00482,0.0068,13.65,9326
layer_township_pg.34,宝山城市工业园区,乡镇,3.10E+11,4,310113,宝山区,3.10E+11,30196.25,,,,,,,,,,,,,
layer_township_pg.5,新成路街道,乡镇,3.10E+11,4,310114,嘉定区,3.10E+11,32885.94231,,,,,,,,,,,,,
layer_township_pg.8,真新街道,乡镇,3.10E+11,4,310114,嘉定区,3.10E+11,46883.71698,106100,1,27629,53700,52400,8210,85900,12019,1109,0.00591,0.01117,5.09,20864
layer_township_pg.2,菊园新区管委会,乡镇,3.10E+11,4,310114,嘉定区,3.10E+11,32836.17647,,,,,,,,,,,,,
layer_township_pg.7,嘉定镇街道,乡镇,3.10E+11,4,310114,嘉定区,3.10E+11,30354.0495,,,,,,,,,,,,,
layer_township_pg.4,南翔镇,乡镇,3.10E+11,4,310114,嘉定区,3.10E+11,39708.55645,,,,,,,,,,,,,
layer_township_pg.12,安亭镇,乡镇,3.10E+11,4,310114,嘉定区,3.10E+11,28510.38043,,,,,,,,,,,,,
layer_township_pg.9,马陆镇,乡镇,3.10E+11,4,310114,嘉定区,3.10E+11,32094.05455,,,,,,,,,,,,,
layer_township_pg.10,徐行镇,乡镇,3.10E+11,4,310114,嘉定区,3.10E+11,28872.84615,,,,,,,,,,,,,
layer_township_pg.6,华亭镇,乡镇,3.10E+11,4,310114,嘉定区,3.10E+11,20616.33333,,,,,,,,,,,,,
layer_township_pg.3,外冈镇,乡镇,3.10E+11,4,310114,嘉定区,3.10E+11,25612.07692,,,,,,,,,,,,,
layer_township_pg.1,江桥镇,乡镇,3.10E+11,4,310114,嘉定区,3.10E+11,40847.06024,256200,1,166500,139700,116500,21420,220600,14210,2636,0.00817,0.00838,42.39,6044
layer_township_pg.11,嘉定工业区,乡镇,3.10E+11,4,310114,嘉定区,3.10E+11,32218.04167,,,,,,,,,,,,,
layer_township_pg.126,潍坊新村街道,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,81030.73016,100500,1,27724,49982,50600,6397,80500,13673,1133,0.00696,0.00516,3.89,25847
layer_township_pg.139,陆家嘴街道,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,86417.28571,112500,1,38800,57300,55200,7508,91100,13918,2003,0.00787,0.00808,6.89,16329
layer_township_pg.114,周家渡街道,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,64847.81667,144700,1,20460,70800,73900,10097,112400,22143,1443,0.0049,0.00715,5.52,26213
layer_township_pg.119,塘桥街道,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,71612.13235,76900,1,16915,37777,39139,6709,60700,9526,1063,0.00799,0.00749,3.86,19926
layer_township_pg.129,上钢新村街道,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,60147.76316,104900,1,14853,51300,53600,6116,81000,17861,1154,0.006,0.0066,7.54,13917
layer_township_pg.120,南码头路街道,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,61366.37975,107100,1,19274,52300,54800,8018,84300,14824,1093,0.005,0.0064,4.25,25207
layer_township_pg.128,沪东新村街道,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,57595.06,112000,1,22846,56500,55600,9452,89200,13346,1126,0.0076,0.0048,5.51,20332
layer_township_pg.118,金杨新村街道,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,64296.01136,206000,1,46463,102100,103900,18391,163400,24210,2074,0.00692,0.00494,8.02,25686
layer_township_pg.146,洋泾街道,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,78518.33613,146200,1,38725,72300,74000,14788,115700,15703,1902,0.0097,0.0063,7.38,19809
layer_township_pg.111,浦兴路街道,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,59360.84507,177500,1,42181,88600,88900,18288,141100,18090,2000,0.00372,0.00646,6.25,28397
layer_township_pg.115,东明路街道,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,56220.31944,121400,1,23365,60400,61100,9628,96800,15016,1247,0.0088,0.005,5.95,20412
layer_township_pg.136,花木街道,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,77543.55034,221300,1,73900,116100,105200,23600,179200,18541,1068,0.0119,0.0054,20.93,10575
layer_township_pg.110,川沙新镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,41128.63068,369000,0.5974,177300,189400,179600,41477,298100,29504,3321,0.0076,0.0066,96.7,3816
layer_township_pg.137,高桥镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,40809.58947,184500,0.8792,92000,97200,87200,21638,148200,14606,1417,0.00943,0.00691,38.78,4757
layer_township_pg.148,北蔡镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,62026.61719,276500,0.9604,117500,143200,133400,23756,228900,23906,2853,0.00428,0.00413,23.71,11664
layer_township_pg.127,合庆镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,31149.09524,,,,,,,,,,,,,
layer_township_pg.123,唐镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,53520.58824,129300,1,92300,70000,59300,13250,109700,6283,1296,0.00762,0.00616,32.16,4019
layer_township_pg.117,曹路镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,44549.4,,,,,,,,,,,,,
layer_township_pg.144,金桥镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,69689.03571,81500,1,56800,44795,36742,7811,70000,3699,1056,0.00931,0.00632,25.28,3225
