gml_id,Name_town,layer,code_town,grade,code_front6,Name_county,code_county,price
layer_township_pg.170,仙霞新村街道,乡镇,310105008000,4,310105,长宁区,310105000000,66887.19402985074
layer_township_pg.171,虹桥街道,乡镇,310105009000,4,310105,长宁区,310105000000,72177.5
layer_township_pg.172,江苏路街道,乡镇,310105002000,4,310105,长宁区,310105000000,87583.9842519685
layer_township_pg.173,北新泾街道,乡镇,310105011000,4,310105,长宁区,310105000000,62072.76
layer_township_pg.174,周家桥街道,乡镇,310105005000,4,310105,长宁区,310105000000,73885.56060606061
layer_township_pg.175,新泾镇,乡镇,310105102000,4,310105,长宁区,310105000000,66776.73076923077
layer_township_pg.176,天山路街道,乡镇,310105006000,4,310105,长宁区,310105000000,68038.16883116883
layer_township_pg.177,程家桥街道,乡镇,310105010000,4,310105,长宁区,310105000000,65092.42857142857
layer_township_pg.178,虹桥镇,乡镇,310112107000,4,310112,闵行区,310112000000,64090.60431654676
layer_township_pg.179,莘庄镇,乡镇,310112101000,4,310112,闵行区,310112000000,53775.482954545456
layer_township_pg.180,华漕镇,乡镇,310112106000,4,310112,闵行区,310112000000,48609.45945945946
layer_township_pg.181,七宝镇,乡镇,310112102000,4,310112,闵行区,310112000000,59218.38036809816
layer_township_pg.182,颛桥镇,乡镇,310112103000,4,310112,闵行区,310112000000,43685.37634408602
layer_township_pg.183,浦江镇,乡镇,310112114000,4,310112,闵行区,310112000000,42077.70212765958
layer_township_pg.184,吴泾镇,乡镇,310112110000,4,310112,闵行区,310112000000,38653.25
layer_township_pg.185,马桥镇,乡镇,310112112000,4,310112,闵行区,310112000000,33542.73611111111
layer_township_pg.186,江川路街道,乡镇,310112001000,4,310112,闵行区,310112000000,38161.34905660377
layer_township_pg.187,新虹街道,乡镇,310112008000,4,310112,闵行区,310112000000,50679.692307692305
layer_township_pg.188,梅陇镇,乡镇,310112108000,4,310112,闵行区,310112000000,54368.292929292926
layer_township_pg.189,古美街道,乡镇,310112006000,4,310112,闵行区,310112000000,65779.69696969698
layer_township_pg.190,莘庄工业区,乡镇,310112501000,4,310112,闵行区,310112000000,42064.72
layer_township_pg.191,夏阳街道,乡镇,310118001000,4,310118,青浦区,310118000000,29878.12962962963
layer_township_pg.192,金泽镇,乡镇,310118104000,4,310118,青浦区,310118000000,21334.333333333332
layer_township_pg.193,徐泾镇,乡镇,310118106000,4,310118,青浦区,310118000000,51050.35632183908
layer_township_pg.194,盈浦街道,乡镇,310118002000,4,310118,青浦区,310118000000,32204.0
layer_township_pg.195,香花桥街道,乡镇,310118003000,4,310118,青浦区,310118000000,26500.35714285714
