gml_id,Name_town,layer,code_town,grade,code_front6,Name_county,code_county
layer_township_pg.122,康桥镇,乡镇,310115136000,4,310115,浦东新区,310115000000
layer_township_pg.123,唐镇,乡镇,310115114000,4,310115,浦东新区,310115000000
layer_township_pg.124,宣桥镇,乡镇,310115141000,4,310115,浦东新区,310115000000
layer_township_pg.125,大团镇,乡镇,310115134000,4,310115,浦东新区,310115000000
layer_township_pg.126,潍坊新村街道,乡镇,310115004000,4,310115,浦东新区,310115000000
layer_township_pg.127,合庆镇,乡镇,310115110000,4,310115,浦东新区,310115000000
layer_township_pg.128,沪东新村街道,乡镇,310115011000,4,310115,浦东新区,310115000000
layer_township_pg.129,上钢新村街道,乡镇,310115009000,4,310115,浦东新区,310115000000
layer_township_pg.130,高行镇,乡镇,310115121000,4,310115,浦东新区,310115000000
layer_township_pg.131,泥城镇,乡镇,310115140000,4,310115,浦东新区,310115000000
layer_township_pg.132,万祥镇,乡镇,310115143000,4,310115,浦东新区,310115000000
layer_township_pg.133,外高桥保税区,乡镇,310115501000,4,310115,浦东新区,310115000000
layer_township_pg.134,张江高科技园区,乡镇,310115503000,4,310115,浦东新区,310115000000
layer_township_pg.135,南汇新城镇,乡镇,310115145000,4,310115,浦东新区,310115000000
layer_township_pg.136,花木街道,乡镇,310115016000,4,310115,浦东新区,310115000000
layer_township_pg.137,高桥镇,乡镇,310115104000,4,310115,浦东新区,310115000000
layer_township_pg.138,三林镇,乡镇,310115130000,4,310115,浦东新区,310115000000
layer_township_pg.139,陆家嘴街道,乡镇,310115005000,4,310115,浦东新区,310115000000
layer_township_pg.140,惠南镇,乡镇,310115131000,4,310115,浦东新区,310115000000
layer_township_pg.141,高东镇,乡镇,310115123000,4,310115,浦东新区,310115000000
layer_township_pg.142,航头镇,乡镇,310115137000,4,310115,浦东新区,310115000000
layer_township_pg.143,老港镇,乡镇,310115144000,4,310115,浦东新区,310115000000
layer_township_pg.144,金桥镇,乡镇,310115120000,4,310115,浦东新区,310115000000
layer_township_pg.145,周浦镇,乡镇,310115132000,4,310115,浦东新区,310115000000
layer_township_pg.146,洋泾街道,乡镇,310115013000,4,310115,浦东新区,310115000000
layer_township_pg.147,祝桥镇,乡镇,310115139000,4,310115,浦东新区,310115000000
layer_township_pg.148,北蔡镇,乡镇,310115105000,4,310115,浦东新区,310115000000
layer_township_pg.149,提篮桥街道,乡镇,310109018000,4,310109,虹口区,310109000000
layer_township_pg.150,江湾镇街道,乡镇,310109019000,4,310109,虹口区,310109000000
layer_township_pg.151,广中路街道,乡镇,310109011000,4,310109,虹口区,310109000000
layer_township_pg.152,凉城新村街道,乡镇,310109016000,4,310109,虹口区,310109000000
layer_township_pg.153,欧阳路街道,乡镇,310109009000,4,310109,虹口区,310109000000
layer_township_pg.154,曲阳路街道,乡镇,310109010000,4,310109,虹口区,310109000000
layer_township_pg.155,嘉兴路街道,乡镇,310109014000,4,310109,虹口区,310109000000
layer_township_pg.156,四川北路街道,乡镇,310109017000,4,310109,虹口区,310109000000
layer_township_pg.157,金山工业区,乡镇,310116503000,4,310116,金山区,310116000000
layer_township_pg.158,张堰镇,乡镇,310116103000,4,310116,金山区,310116000000
layer_township_pg.159,廊下镇,乡镇,310116107000,4,310116,金山区,310116000000
layer_township_pg.160,金山卫镇,乡镇,310116109000,4,310116,金山区,310116000000
layer_township_pg.161,朱泾镇,乡镇,310116101000,4,310116,金山区,310116000000
layer_township_pg.162,山阳镇,乡镇,310116113000,4,310116,金山区,310116000000
layer_township_pg.163,枫泾镇,乡镇,310116102000,4,310116,金山区,310116000000
layer_township_pg.164,吕巷镇,乡镇,310116105000,4,310116,金山区,310116000000
layer_township_pg.165,漕泾镇,乡镇,310116112000,4,310116,金山区,310116000000
layer_township_pg.166,石化街道,乡镇,310116001000,4,310116,金山区,310116000000
layer_township_pg.167,亭林镇,乡镇,310116104000,4,310116,金山区,310116000000
layer_township_pg.168,新华路街道,乡镇,310105004000,4,310105,长宁区,310105000000
layer_township_pg.169,华阳路街道,乡镇,310105001000,4,310105,长宁区,310105000000
layer_township_pg.170,仙霞新村街道,乡镇,310105008000,4,310105,长宁区,310105000000
layer_township_pg.171,虹桥街道,乡镇,310105009000,4,310105,长宁区,310105000000
layer_township_pg.172,江苏路街道,乡镇,310105002000,4,310105,长宁区,310105000000
layer_township_pg.173,北新泾街道,乡镇,310105011000,4,310105,长宁区,310105000000
layer_township_pg.174,周家桥街道,乡镇,310105005000,4,310105,长宁区,310105000000
layer_township_pg.175,新泾镇,乡镇,310105102000,4,310105,长宁区,310105000000
layer_township_pg.176,天山路街道,乡镇,310105006000,4,310105,长宁区,310105000000
layer_township_pg.177,程家桥街道,乡镇,310105010000,4,310105,长宁区,310105000000
layer_township_pg.178,虹桥镇,乡镇,310112107000,4,310112,闵行区,310112000000
layer_township_pg.179,莘庄镇,乡镇,310112101000,4,310112,闵行区,310112000000
layer_township_pg.180,华漕镇,乡镇,310112106000,4,310112,闵行区,310112000000
layer_township_pg.181,七宝镇,乡镇,310112102000,4,310112,闵行区,310112000000
layer_township_pg.182,颛桥镇,乡镇,310112103000,4,310112,闵行区,310112000000
layer_township_pg.183,浦江镇,乡镇,310112114000,4,310112,闵行区,310112000000
layer_township_pg.184,吴泾镇,乡镇,310112110000,4,310112,闵行区,310112000000
layer_township_pg.185,马桥镇,乡镇,310112112000,4,310112,闵行区,310112000000
layer_township_pg.186,江川路街道,乡镇,310112001000,4,310112,闵行区,310112000000
layer_township_pg.187,新虹街道,乡镇,310112008000,4,310112,闵行区,310112000000
layer_township_pg.188,梅陇镇,乡镇,310112108000,4,310112,闵行区,310112000000
layer_township_pg.189,古美街道,乡镇,310112006000,4,310112,闵行区,310112000000
layer_township_pg.190,莘庄工业区,乡镇,310112501000,4,310112,闵行区,310112000000
layer_township_pg.191,夏阳街道,乡镇,310118001000,4,310118,青浦区,310118000000
layer_township_pg.192,金泽镇,乡镇,310118104000,4,310118,青浦区,310118000000
layer_township_pg.193,徐泾镇,乡镇,310118106000,4,310118,青浦区,310118000000
layer_township_pg.194,盈浦街道,乡镇,310118002000,4,310118,青浦区,310118000000
layer_township_pg.195,香花桥街道,乡镇,310118003000,4,310118,青浦区,310118000000
layer_township_pg.196,白鹤镇,乡镇,310118110000,4,310118,青浦区,310118000000
layer_township_pg.197,练塘镇,乡镇,310118103000,4,310118,青浦区,310118000000
layer_township_pg.198,朱家角镇,乡镇,310118102000,4,310118,青浦区,310118000000
layer_township_pg.199,华新镇,乡镇,310118107000,4,310118,青浦区,310118000000
layer_township_pg.200,赵巷镇,乡镇,310118105000,4,310118,青浦区,310118000000
layer_township_pg.201,重固镇,乡镇,310118109000,4,310118,青浦区,310118000000
layer_township_pg.202,宝山路街道,乡镇,310106017000,4,310106,静安区,310106000000
layer_township_pg.203,江宁路街道,乡镇,310106006000,4,310106,静安区,310106000000
layer_township_pg.204,曹家渡街道,乡镇,310106014000,4,310106,静安区,310106000000
layer_township_pg.205,彭浦镇,乡镇,310106101000,4,310106,静安区,310106000000
layer_township_pg.206,静安寺街道,乡镇,310106013000,4,310106,静安区,310106000000
layer_township_pg.207,临汾路街道,乡镇,310106021000,4,310106,静安区,310106000000
layer_township_pg.208,彭浦新村街道,乡镇,310106020000,4,310106,静安区,310106000000
layer_township_pg.209,石门二路街道,乡镇,310106011000,4,310106,静安区,310106000000
layer_township_pg.210,北站街道,乡镇,310106016000,4,310106,静安区,310106000000
layer_township_pg.211,芷江西路街道,乡镇,310106022000,4,310106,静安区,310106000000
layer_township_pg.212,大宁路街道,乡镇,310106019000,4,310106,静安区,310106000000
layer_township_pg.213,南京西路街道,乡镇,310106012000,4,310106,静安区,310106000000
layer_township_pg.214,天目西路街道,乡镇,310106015000,4,310106,静安区,310106000000
layer_township_pg.215,共和新路街道,乡镇,310106018000,4,310106,静安区,310106000000
layer_township_pg.216,豫园街道,乡镇,310101018000,4,310101,黄浦区,310101000000
layer_township_pg.217,打浦桥街道,乡镇,310101021000,4,310101,黄浦区,310101000000
layer_township_pg.218,南京东路街道,乡镇,310101002000,4,310101,黄浦区,310101000000
layer_township_pg.219,瑞金二路街道,乡镇,310101023000,4,310101,黄浦区,310101000000
layer_township_pg.220,淮海中路街道,乡镇,310101022000,4,310101,黄浦区,310101000000
layer_township_pg.221,老西门街道,乡镇,310101019000,4,310101,黄浦区,310101000000
layer_township_pg.222,外滩街道,乡镇,310101013000,4,310101,黄浦区,310101000000
layer_township_pg.223,五里桥街道,乡镇,310101020000,4,310101,黄浦区,310101000000
layer_township_pg.224,半淞园路街道,乡镇,310101015000,4,310101,黄浦区,310101000000
layer_township_pg.225,小东门街道,乡镇,310101017000,4,310101,黄浦区,310101000000
layer_township_pg.19309,惠萍镇,乡镇,320681102000,4,320681,启东市,320681000000
layer_township_pg.19311,寅阳镇,乡镇,320681103000,4,320681,启东市,320681000000
layer_township_pg.19316,启隆乡,乡镇,320681200000,4,320681,启东市,320681000000
layer_township_pg.19387,海门市经济技术开发区,乡镇,320684400000,4,320684,海门市,320684000000
layer_township_pg.19390,三厂工业园区,乡镇,320684418000,4,320684,海门市,320684000000
layer_township_pg.19393,海门市临江新区管理委员会,乡镇,320684414000,4,320684,海门市,320684000000
layer_township_pg.19397,海永乡,乡镇,320684200000,4,320684,海门市,320684000000
layer_township_pg.20408,黎里镇,乡镇,320509110000,4,320509,吴江区,320509000000
layer_township_pg.20409,城厢镇,乡镇,320585100000,4,320585,太仓市,320585000000
layer_township_pg.20410,科教新城,乡镇,320585403000,4,320585,太仓市,320585000000
layer_township_pg.20411,经济开发区,乡镇,320585400000,4,320585,太仓市,320585000000
